I feel good about what I'm working on,I feel good about my career path,I feel good about my work-life balance,I feel valued by those around me,I see opportunities for career growth,"In your opinion, what are the top three skills most in demand in the battery industry?","In opinion, which part(s) of the battery value chain are most in need of more skilled workers?",What is your highest level of education?,What did you study in school?,What country do you live in?,What is your ZIP code or postal code?,What is your total income over the past 12 months?,How many hours did you work last week?,What is your age?,How would you best describe yourself?,To which gender do you most identify with?,What is your citizenship status in the country you currently live in?,Have you ever served in the military?,What is your current employment situation?,"Since you're currently working in the industry, we would love to ask you some more detailed questions about your industry experience.

Would you like to complete these additional questions? ","Since you're a student, we would love to ask you more detailed questions about your student and job searching experience.

Would you like to complete these additional questions? ","Since you've indicated that you used to work for a company but no longer work there, we would love to ask you more detailed questions about your experience with the previous company and your job-search process.

Would you like to complete these additional questions? ",Why did you leave your previous company?,I am satisfied with my compensation,I am being underpaid compared to similar roles,I am satisfied with the raises and/or bonuses I have been receiving,What is your annual base salary?,"Beyond base salary, what additional compensation types do you receive?",How many times have you received a base salary increase over the past 12 months of employment?,How many times have you received a bonus over the past 12 months of employment?,How many years have you been with the company?,Where does the company fall on the battery value chain?,How would you classify your company's stage of development?,In what country is your office located?,In what state is your office located?,How many days did you work in the office last week?,How many employees work at your company?,What is the total headcount on your team?,What is your current job title?,What does your role involve?,What is your current level?,Why did you choose your current role and company?,Have you previously worked in other industries?,What was your previous role before joining the battery industry?,After working for 1 week?,After working for 1 month?,After working for 3 months?,Last week?,"When you first started your role, how were you trained?","When you first started in the battery industry, what could have improved your job performance on day one?",How many internships did you complete before starting your current role?,"In your opinion, what are the top skills that contributed to your success?","In your opinion, which positions are the hardest to fill in your company?","In your opinion, what do you think are the main barriers to hiring skilled talent in the battery industry?",How many times have you changed employers in the last five years?,Are you currently seeking new job opportunities?,My company has a good reputation in the industry,I want to stay with my company for at least 12 more months,I am satisfied with my current job stability,I am confident in my ability to find my next job in the industry,"If you were offered a similar role with a different company, what factors would influence your decision accept the offer?",Is there anything else you'd like to share about what you're looking for in your next role?,Mental health support,Work-life balance initiatives,Financial wellness programs,Career development opportunities,What benefits does your company entitle you to?,How many weeks of parental leave are you entitled to?,How many weeks of paid time off are you entitled to each year?,How many days of sick leave are you entitled to?,Are there any unique benefits that you value?,"After graduating, I know what role(s) to apply to","After graduating, I will find a job","By the time I graduate, I will have learned the skills needed to find a job",I am optimistic about the future of the battery industry,"After you graduate, what would be your ideal job title?","After you graduate, what part(s) of the battery value chain do you see yourself contributing to?",Which of the following aspects are you looking for in your first job?,How much do you expect to be paid for your first job?,How many internships have you completed so far?,"During your previous internship, where did your  employer fall on the battery value chain?","During your previous internship, what did your role involve?","During your previous internship, what are the top three skills that contributed to your success?","During your previous internship, were there skills you wish you had learned but didn't? If yes, what were they?","During your previous internship, were there skills that you felt unprepared for? If yes, what were they?","During your previous internship, what was your hourly pay?","During your previous internship, how many hours per week did you work, on average?",Submitted At,Token
,5,,,,"Cell design, Process development, Formation","Cell production, Product integration (vehicles, mobility), Recycling",Bachelors,Electrical Engineering,India,560100,1000000,54,27,Asian,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,,,800000,Nil,1,0,2,Cell production,Startup (early growth),India,,5,101-250,1-10,,"Engineering and design, Research and development",Career,"Career growth opportunities, Competitive salary and benefits, Supportive team and environment","Yes, in a similar role",,2,3,4,4,"Learning on the job, Peer mentors",Better foundational knowledge,1,"Research, Data analysis, Communication",,"Lack of proper learning resources, Minimal Support from authorities, Continuously evolving market dynamics",3,TRUE,3,3,3,4,"Salary, bonuses, Career growth opportunities, Perks, Vacation time, Work location flexibility, Company culture, Visa sponsorship, Total hours worked, Parental leave, Equity, Job stability","Geography, Perks, Culture",3,3,3,3,Healthcare coverage or stipend,1,24,6,1. Sports,,,,,,,,,,,,,,,,,12/15/2024 9:28:04,gip28rcikbtyburixgip286oappbwy2n
4,4,5,3,3,"Synthesis, EIS, CV",Recycling,Masters,Chemistry,India,712306,0,0,23,Asian,Male,Citizen (native-born),No,I am looking for PhD position. I have completed my master's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 9:28:31,lvoecjveiygslha0plvoec218t68vsp1
5,5,5,5,5,"Fundamental knowledge of battery chemistry, Hands on experience for cell fabrication and Electrochemical analysis","Component/precursor production, Cell production, Recycling",Doctorate,Physics,India,361006,2300000,48,38,Asian,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,2,4,2500000,"Bonuses (based on individual performance), Education or tuition reimbursement, Health and wellness stipends, Childcare expense reimbursement, Accommodation",1,1,2,"Cell production, Module/pack production",Established (significant market presence),India,,5,"100,000+",51-100,Sr scientist,"Research and development, Testing and validation, Product design",Senior,"Learning and skills development, Competitive salary and benefits, Job security, Challenge and innovation","Yes, in a similar role",,4,4,5,5,"Learning on the job, Peer mentors","More hands-on skills, Better foundational knowledge",0,"Materials synthesis, testing and advanced analysis",NA,Fundamental knowledge and hands on experience,1,TRUE,5,3,4,5,"Company culture, Career growth opportunities, Job stability, Salary, bonuses",,4,4,4,5,Healthcare coverage or stipend,1,0,0,,,,,,,,,,,,,,,,,,12/15/2024 9:36:29,rkp5cp61neo6b074rkp7qff60u2ss70g
5,5,5,5,5,skill 1 :  deep understanding of battery value chain 2. deep understanding of cell cathod active material 3) deep understanding of battery economics and geo politics,"Cell production, Component/precursor production, Recycling",Masters,Management and Business Administration,India,560066,12500000,40,44,Asian,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,4,3,10000000,"Commissions, Equity (stock, options, etc.)",0,1,3,"Consulting, Product integration (electronics), Software",Startup (early growth),India,,4,101-250,11-20,Founder,"Investor, Managing people, Managing projects or programs, Marketing, Sales and services, Software development, Software integration, Strategy and planning, Supply chain, New product introduction (NPI)",Executive,,No,,2,3,4,4,"Learning on the job, Peer mentors",,0,global knowledge of battery innovation,cell electrode scientist,not enough teachers with knowledge in the region i work,1,TRUE,4,4,4,5,"Salary, bonuses, Perks, Visa sponsorship",global opportunities where i can take my learning to middle east and africa,4,4,4,,Work-from-home stipend,8,4,2,,,,,,,,,,,,,,,,,,12/15/2024 10:33:22,6txo8cpfeoq7a72qyy6txo8cp744papg
4,5,3,3,4,[Electrochemistry];[Software];[Hardware];,"Cell production, Recycling, Software",Bachelors,Engineering (Other),Tanzania,"P.O.Box 124 Siha, Kilimanjaro",1000,40,23,Black or African American,Female,Citizen (native-born),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,Battery Management Systems Engineer,"Product integration (stationary storage), Recycling, Software","Hybrid/remote work, Career growth opportunities, Challenge and innovation, Desirable work location, Sustainability and impact, Competitive salary and benefits, Supportive team and environment, Learning and skills development",1000,2,Recycling,"Engineering and design, Managing projects or programs, Product design, Quality, Research and development, Testing and validation",[Lithium-ion batteries];[Recycling];[Battery Management Systems],[E-mobility],,1,35,12/15/2024 12:15:19,b7xgri89u0b7xgru5at1q9n8thfq5r50
2,4,2,2,3,[Materials Chemistry]; [Electrochemistry]; [Intellectual Property Building Capabilities],"Cell production, Component/precursor production, Recycling",Doctorate,Chemistry,Japan,195-0053,4500000,8,69,Asian,Male,Citizen (native-born),No,self-employed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 12:20:54,44310vjnvgduwqvzd1744310vjwnsa6z
4,2,2,2,2,,"Energy infrastructure, Recycling, Cell production",Masters,Physics,Iran,7147913548,3000000,40,29,Asian,Female,,No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,5,after geaduating i want to apply for a strong position in Ph.D,"Energy infrastructure, Cell production, Product integration (stationary storage)","Job security, Supportive team and environment, Competitive salary and benefits, Work-life balance, Learning and skills development, Challenge and innovation, Career growth opportunities",7700,1,,"Quality, Research and development, Testing and validation, Engineering and design, Product design","""hard working;  perseverance; initiative""","""basic design;  programming; synthesis"" syn",,0,10,12/15/2024 12:33:56,vgk7xmes3vxtqzuseqgvgk7x6gt6ewm8
3,4,4,4,4,"""[Simulation study];[Material Research];[Battery design]""","Refining, Software, Component/precursor production",Masters,Chemical Engineering,India,603002,1000000,43,25,Asian,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,4,3,1000000,Bonuses (based on individual performance),0,0,1,"Software, Product integration (vehicles, mobility)",Established (significant market presence),India,,5,"5,001-10,000",21-50,Electrochemical Engineer,"Research and development, Engineering and design",Career,"Career growth opportunities, Hybrid/remote work, Learning and skills development",No,,4,4,4,4,Learning on the job,"Better foundational knowledge, Better understanding of culture and norms",2,"""Simulation study; Cell Manufacturing; Electrode synthesis""",NA,NA,0,TRUE,3,1,1,4,"Job stability, Work location flexibility, Company culture, Career growth opportunities, Visa sponsorship",NA,3,3,1,2,Healthcare coverage or stipend,12,2,10,NA,,,,,,,,,,,,,,,,,12/15/2024 13:41:37,q04kgdm9qzpzv2tacwgq04kgdxbyeq8x
4,5,5,5,4,"Battery design, Battery testing and validation and Application Engineering","Cell production, Module/pack production, Product integration (electronics)",Diploma (high school),Mechanical Engineering,India,301019,3300000,40,40,Asian,Male,,No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,4,3,3300000,,1,0,2,Module/pack production,Scale-up (rapid growth),India,,5,101-250,21-50,Program Manager,Engineering and design,Expert,Challenge and innovation,"Yes, in a similar role",,3,4,5,4,Learning on the job,Better foundational knowledge,0,"Team management, quick learning, innovation, team leadership","Engineering head, Application Manager, Service Management",Lack of knowledge in the industry,1,TRUE,3,4,3,4,"Salary, bonuses, Job stability, Career growth opportunities, Company culture",Learning opportunities,3,4,3,3,,0,10,7,"Recognition, next level challenge",,,,,,,,,,,,,,,,,12/15/2024 13:54:55,46ypze9wiomlemy3lbbtdju46ypzu4sd
4,4,4,5,5,"Vehicle integration, courage, vision, business analytics","Cell production, Module/pack production, Product integration (vehicles, mobility)",Masters,Mechanical Engineering,Switzerland,8400,,50,48,White,Male,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,3,4,,"Bonuses (based on company performance), Bonuses (based on individual performance)",1,1,20,"Product integration (vehicles, mobility)",Established (significant market presence),Switzerland,,5,"10,001-25,000",1-10,,"Engineering and design, Managing people, Managing projects or programs, Marketing, New product introduction (NPI), Product design, Recruiting, Research and development, Sales and services, Strategy and planning, Testing and validation",Manager,"Career growth opportunities, Learning and skills development, Competitive salary and benefits, Autonomy and independence, Challenge and innovation, Desirable work location",No,,2,2,2,4,"Learning on the job, Formal training programs",Better foundational knowledge,0,"perseverance, curiosity, courage, vehicle integration",product innovation engineer,competition among companies,0,FALSE,4,5,5,3,"Salary, bonuses, Equity, Career growth opportunities",,3,3,3,4,"Retirement account funding or match, Gym or physical wellness stipend, Meal stipend",,3,,,,,,,,,,,,,,,,,,,12/15/2024 14:04:55,uh0tmlwwtc4a02ufuh0thjgeqe4utqs8
4,5,1,2,5,"Transparency in methods, communication with leaders, critical review","Product integration (vehicles, mobility), Recycling, Energy infrastructure",Masters,Materials Science and Engineering,India,400076,500000,72,29,Asian,Female,Citizen (native-born),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,5,Research scientist,"Cell production, Product integration (vehicles, mobility), Energy infrastructure, Consulting","Supportive team and environment, Competitive salary and benefits, Job security, Work-life balance, Autonomy and independence, Learning and skills development, Career growth opportunities, Desirable work location, Hybrid/remote work",180000,0,,,,,,,,12/15/2024 14:11:04,ib27684xak6r6tt9ib27689beonrcu4v
4,5,4,3,5,"Electrochemistry, simulation, manufacturing (scale up)","Cell production, Product integration (vehicles, mobility), Equipment manufacturing",Bachelors,Physics,Germany,,120000,50,31,White,Male,,No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,2,5,99000,"Bonuses (based on company performance), Equity (stock, options, etc.), Health and wellness stipends",1,2,3,"Product integration (vehicles, mobility)",Established (significant market presence),Germany,,3,"100,000+",11-20,Test Manager,"Engineering and design, Managing people, Managing projects or programs, Quality, Research and development, Testing and validation",Senior,"Challenge and innovation, Sustainability and impact, Learning and skills development, Competitive salary and benefits, Career growth opportunities","Yes, in a similar role",,2,3,4,5,Learning on the job,"Better understanding of culture and norms, Better foundational knowledge",2,"Continuos learning, foundational knowledge, programming",Manufacturing (across the board for high-skilled workers),"Culture at large OEMs, lack of multidisciplinary education, pay",3,TRUE,3,1,3,5,"Career growth opportunities, Salary, bonuses, Company culture","More hands-on work, more impact",4,5,3,3,"Healthcare coverage or stipend, Work-from-home stipend, Educational, tuition, or continued education stipend",12,6,10,"Continuos education (seminars and conferences), gym",,,,,,,,,,,,,,,,,12/15/2024 14:22:23,2fchgv5wk2udmcquaza2fchgvr2fdmk0
5,5,4,4,4,"[analitical mind], [curiosity], [adaptability]","Cell production, Product integration (electronics), Software",Masters,Electrical Engineering,Germany,81673,100000,40,33,Decline to answer,Male,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 14:25:46,2xzzzxri3jj4rpxugi10j2xzzzxrixed
5,5,3,4,4,[capability to work with large datasets]; [deep understanding of battery physics]; [understanding challenges of each manufacture step],"Cell production, Consulting, Product integration (vehicles, mobility)",Doctorate,Physics,Spain,,50000,45,36,"Hispanic, Latino, or Spanish origin",Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 15:31:09,tdxenpbtvgjfy1t5ltdxen1dttlmblfs
5,4,3,4,3,1.understand material handling2. Mixing and 3. To understand the whole process of the battery manufacturing,"Equipment manufacturing, Mining, Energy infrastructure",Associates (community college),Engineering (Other),Switzerland,8156,120000,3000,57,White,Male,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,3,3,120000,Bonuses (based on company performance),0,0,14,Equipment manufacturing,Mid-sized (stable growth),Switzerland,,5,51-100,1-10,Sales&Marketing,"Managing people, Marketing, Product design, New product introduction (NPI), Quality, Sales and services, Engineering and design, Legal, Research and development",Senior,"Job security, Learning and skills development, Supportive team and environment, Desirable work location, Autonomy and independence","Yes, in a different role",Contact cleaning equipment,3,3,4,5,Peer mentors,"Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",0,,,Finding people with knowledge and grip to work extra step,0,TRUE,,,,,"Salary, bonuses, Job stability, Equity, Vacation time, Perks, Career growth opportunities, Work location flexibility, Company culture","Moneys, work balance",3,4,5,5,Retirement account funding or match,,6,40,"Company car , on long haul flight business class",,,,,,,,,,,,,,,,,12/15/2024 15:37:07,a9cgmhqnp2v4xgua9c4g5d63g04rzzm8
2,2,2,1,3,containment; contamination control;  mitigating waste,"Recycling, Component/precursor production",Masters,Other,United Kingdom,rg40 3ld,115000,40,59,White,Male,Citizen (native-born),Yes,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,2,3,115000,,1,0,30,"Consulting, engineering design",Established (significant market presence),United Kingdom,,24,"50,001-100,000",1-10,Technology specialist,Engineering and design,Expert,development on earlier career,"Yes, in a similar role",,2,3,4,5,Learning on the job,too many to list,0,flexibility; understanding of start ups; emerging tech approach,experianced execution enginners with emerging tech,mindset,0,TRUE,4,4,2,4,"Job stability, Work location flexibility, Company culture, Salary, bonuses",,,5,,,Healthcare coverage or stipend,0,5,90,wfh,,,,,,,,,,,,,,,,,12/15/2024 15:39:30,l4e2rdigxn679f5ywdv3m0nzl4e2rdig
5,4,4,4,4,skill 2,Component/precursor production,Doctorate,Materials Science and Engineering,Iran,11155-3486,2000000000,54,61,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 16:08:39,g0hp8bql523ig0oz75g0hp8bkz33b8h7
5,4,4,5,4,Solids handling experience; pyrometallurgy; process architecture/operability,"Component/precursor production, Energy infrastructure, Equipment manufacturing",Bachelors,Chemical Engineering,United Kingdom,DL10 6NQ,115000,40,54,White,Male,Citizen (native-born),Yes,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,5,2,3,125000,"Equity (stock, options, etc.), Health and wellness stipends",2,0,1,"Component/precursor production, Refining",Startup (early growth),United Kingdom,,3,11-50,1-10,Head of Engineering,"Engineering and design, Managing projects or programs, Managing people, New product introduction (NPI), Quality, Recruiting, Research and development, Strategy and planning, Testing and validation",Expert,"Challenge and innovation, Autonomy and independence, Hybrid/remote work, Competitive salary and benefits, Learning and skills development, Sustainability and impact","Yes, in a different role",Process Engineer in pharmaceuticals,2,3,4,4,Learning on the job,Better foundational knowledge,0,,,,2,FALSE,3,4,4,5,"Salary, bonuses, Equity, Work location flexibility, Company culture",,4,3,3,3,"Healthcare coverage or stipend, Retirement account funding or match, Work-from-home stipend",,4,,,,,,,,,,,,,,,,,,,12/15/2024 16:31:08,9qq61lcy595ju4lrpd99qq61udbygg8j
4,4,4,4,4,recognizing patterns; safety focus; system integration,"Mining, Energy infrastructure, Recycling",Masters,Physics,Austria,8074,70000,42,32,White,Female,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 16:51:45,dxu0prgih8vjb60nedxu0prg9fgcih2t
5,5,5,3,5,,"Refining, Cell production",Associates (community college),Management and Business Administration,United Kingdom,SE5 7PF,,40,38,Black or African American,Female,Non-citizen (Other),No,Work as a FOUNDER/ MANAGING DIRECTOR of our Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 17:26:23,n19yjg82z2sbzrm63n19yjprnyzy3mej
4,4,5,4,3,Critical thinking; technical battery knowledge; persistency,"Component/precursor production, Cell production, Recycling",Doctorate,Materials Science and Engineering,Belgium,9400,50000,38,30,"Asian, Middle Eastern or North African",Male,Non-citizen (H-1B visa),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,2,3,50000,"Bonuses (based on individual performance), Health and wellness stipends, Childcare expense reimbursement, Company car",1,2,1,"Cell production, Module/pack production, Recycling, Consulting",Scale-up (rapid growth),Belgium,,5,51-100,11-20,Solid State Battery Team Leader,"Engineering and design, Managing people, Managing projects or programs, Quality, Research and development",Expert,"Desirable work location, Autonomy and independence, Hybrid/remote work, Challenge and innovation, Learning and skills development, Work-life balance, Competitive salary and benefits","Yes, in a different role",Senior Researcher,4,5,5,5,"Learning on the job, Peer mentors","Better foundational knowledge, More hands-on skills, Better understanding of culture and norms",0,Fundamental knowledge; persistency; critical thinking,Director; CEO; CTO,Lack of fundamental skills; some candidate have less problem solving ability; lack of patient to learn something new,2,FALSE,4,4,3,5,"Salary, bonuses, Job stability, Vacation time, Career growth opportunities, Work location flexibility, Total hours worked, Company culture, Visa sponsorship, Equity, Parental leave",Tolerance for Muslim praying time; no racial discrimination; flexibility in communication,4,5,3,3,"Healthcare coverage or stipend, Work-from-home stipend, Retirement account funding or match, Meal stipend",12,4,60,Prayer room; flexibility in handling the job; transport and telecommunication coverage,,,,,,,,,,,,,,,,,12/15/2024 18:12:17,uu3yokds60vjvbfkcgsuu3yokaxn5e2l
1,1,1,1,1,[,"Component/precursor production, Equipment manufacturing, Process knowledge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 18:17:41,8n5ux6bwjqc2x3ymth8n5uxz004c69vi
4,4,3,4,4,"Understanding Cells, Packaging,BMS algorithms","Module/pack production, Product integration (vehicles, mobility), Recycling",Bachelors,Engineering Technology,India,560103,2800000,70,29,Asian,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,4,5,2800000,"Equity (stock, options, etc.), Health and wellness stipends",1,0,6,"Energy infrastructure, Module/pack production, Product integration (electronics)",Scale-up (rapid growth),India,,5,101-250,11-20,"Senior Technical Manager, Charging Systems","Engineering and design, Manufacturing and production, New product introduction (NPI), Product design, Testing and validation",Senior,"Learning and skills development, Sustainability and impact, Challenge and innovation, Competitive salary and benefits",No,,3,3,4,5,"Learning on the job, Peer mentors","Better foundational knowledge, More hands-on skills",1,"Being quick learner, taking risk, agile product development approach",Technical understanding and know how,Lack of formal training,5,TRUE,4,2,4,5,"Career growth opportunities, Work location flexibility, Salary, bonuses, Company culture",New edge technology and advancement in EVs,4,4,4,3,Healthcare coverage or stipend,12,3,2,ESOPs,,,,,,,,,,,,,,,,,12/15/2024 18:23:26,l1pbjxzbis4up8mb6l1pbjv9uds8xn2q
5,4,4,4,3,Cell design; chemistry; ELECTROCHEMISTRY,"Recycling, Component/precursor production",Doctorate,Physics,Argentina,4000,15000000,45,34,"Hispanic, Latino, or Spanish origin",Male,Citizen (native-born),,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,4,Battery scientist,Component/precursor production,"Career growth opportunities, Supportive team and environment, Challenge and innovation, Work-life balance",100000,2,,Engineering and design,,,,,,12/15/2024 19:27:45,ipvkl0a8z2ed61seuipvkwbqbpmsg8eb
5,5,4,4,3,"Patience, sharing knowledge",Recycling,Masters,Mechanical Engineering,United States,94086,180000,40,32,"Asian, White",Female,Non-citizen (TN visa),No,I'm not employed right now but I used to work for a company,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 20:13:05,z89xgphjy86uvf6z89khch49ghrgtqjv
3,4,4,3,3,"Decision making, strategy development, data analysis","Recycling, Product integration (stationary storage), Product integration (vehicles, mobility)",Doctorate,Chemistry,United Kingdom,GU15 3NH,59000,40,42,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,3,3,59000,Bonuses (based on company performance),1,1,2,"Product integration (vehicles, mobility)",Established (significant market presence),United Kingdom,,5,"100,000+",1-10,Senior Characterisation Engineer,"Research and development, Testing and validation",Senior,Career growth opportunities,"Yes, in a different role",Builder,2,2,3,3,Learning on the job,A plan,0,"Data analysis, molecular quantum mechanics, cell modelling",,"Lack of jobs, lack of industry wide strategy long term, lack of required process engineering experience",1,TRUE,,,,,"Job stability, Career growth opportunities, Company culture, Visa sponsorship",,2,2,3,2,,1,4,0,,,,,,,,,,,,,,,,,,12/15/2024 20:15:58,inijcehsi16m069minijcyv6gc8u9it5
4,5,5,4,2,Skill 1  power management skill 2: networking  skill 3 : chemical engineering,"Recycling, Cell production, Software",Masters,Electrical Engineering,United States,48375,1,20,69,Decline to answer,Male,Citizen (native-born),No,I'm not employed right now but I used to work for a company,,,TRUE,I left voluntarily,4,2,3,2,"Bonuses (based on individual performance), Bonuses (based on company performance)",0,0,33,,Established (significant market presence),Japan,,1,1-10,1-10,Principal,"Research and development, Strategy and planning",Executive,Career growth opportunities,"Yes, in a similar role",,2,3,3,5,Learning on the job,Better understanding of culture and norms,0,Network,,,,FALSE,5,5,5,5,"Salary, bonuses, Perks, Company culture",,3,3,4,4,"Healthcare coverage or stipend, Retirement account funding or match, Gym or physical wellness stipend",,,,,,,,,,,,,,,,,,,,,12/15/2024 20:17:02,jcbfe1y5og460ficndjvjcbfi49s12nq
5,5,4,5,5,Manufacturing process scale-up,"Recycling, Equipment manufacturing, Cell production",Doctorate,,United States,37771,10000,38,60,Decline to answer,Decline to answer,Decline to answer,Yes,I'm not employed right now but I used to work for a company,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 20:22:44,7ii34vd9vcrrjsmb7iicaktewjvq3ub7
4,3,2,4,4,Broad skillsets; battery knowledge; data analysis,"Module/pack production, Cell production, Recycling",Masters,Software Engineering,Finland,00120,90000,48,33,White,Female,Non-citizen (Other),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,2,1,93000,,1,0,3,Component/precursor production,Scale-up (rapid growth),Netherlands,,3,51-100,1-10,Senior Data Scientist,"IT infrastructure, Managing people, Data Analysis",Senior,"Learning and skills development, Autonomy and independence, Competitive salary and benefits, Sustainability and impact, Challenge and innovation, Career growth opportunities","Yes, in a similar role",,4,4,4,4,"Learning on the job, Peer mentors",Better foundational knowledge,0,Communication; perseverance; programming,CFO; QC Engineer; Plasma Expert,Rare background; attracting foreign talent; cost,1,TRUE,3,2,2,3,"Salary, bonuses, Equity, Vacation time, Career growth opportunities, Work location flexibility, Total hours worked, Company culture",Pay as contractor; hours per week,3,2,1,2,,16,4,,,,,,,,,,,,,,,,,,,12/15/2024 20:27:49,6bgbebiheozpq91jqok76bgbebi4pqdo
4,4,4,4,4,Technical; technical; management,"Recycling, Cell production, Component/precursor production",Doctorate,Chemistry,Netherlands,2566ZE,300000,60,50,,Male,Citizen (native-born),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 20:56:25,8y9kah6rrqv80c72cm8y9kat0fuhteyj
5,5,4,4,4,skill 1 : Business acumen skill 2 : AI generall knowledge Skill 3 : automotive transformation to electrification direction ?,"Cell production, Energy infrastructure, battery business",Associates (community college),Engineering Technology,Sweden,114,800000,50,49,White,Male,Citizen (native-born),Decline to answer,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/15/2024 21:19:31,wh6dl5na421oohamswh6dl5fh4t626mi
5,5,5,5,5,Manufacturing expertise,Module/pack production,Bachelors,Chemical Engineering,United States,77479,0,45,53,Asian,Male,Decline to answer,No,I'm not employed right now but I used to work for a company,,,TRUE,,5,,,163000,"Equity (stock, options, etc.)",0,,17,,Scale-up (rapid growth),Singapore,,5,1-10,1-10,Ceo,Managing projects or programs,Executive,,"Yes, in a similar role",,4,4,5,5,Learning on the job,More hands-on skills,4,,,,0,TRUE,,,,5,Company culture,,5,4,4,5,Healthcare coverage or stipend,3,3,3,,,,,,,,,,,,,,,,,,12/15/2024 21:20:50,fkox1z80dddmxfko4olu6eh9hzdrxkf7
